File                                                         Coverage   Missing Lines
----------------------------------------------------------------------------------------------------
conftest.py                                                    85.7%    14
show_views_coverage.py                                          0.0%    1,3,4,5,8,9,10,11,12,13,14,...
accounts/serializers.py                                        55.0%    28,29,30,31,34,36,37,38,39
accounts/services.py                                           30.4%    26,27,29,30,32,33,35,37,40,...
accounts/views.py                                              42.4%    24,33,34,35,36,38,40,46,47,...
lib/baseball-simulator/baseball.py                              7.2%    24,25,26,27,28,30,31,33,34,...
lib/baseball-simulator/batter.py                               18.8%    12,15,16,18,19,20,21,22,23,...
lib/baseball-simulator/parallel_game.py                        22.0%    23,24,25,26,39,40,41,42,43,...
lineups/interactor.py                                          30.0%    24,32,40,41,43,44,46,49,58,...
lineups/serializers.py                                         82.9%    42,43,44,45,78,79
lineups/views.py                                               40.6%    38,39,43,44,45,47,49,50,52,...
lineups/services/algorithm_logic.py                            15.6%    55,56,57,63,67,68,69,70,71,...
lineups/services/auth_user.py                                  37.5%    13,14,17,19,24
lineups/services/databa_access.py                              28.2%    29,31,38,39,40,41,43,48,50,...
lineups/services/exceptions.py                                 63.2%    12,13,18,23,28,34,39
lineups/services/lineup_creation_handler.py                    26.7%    23,25,26,28,31,32,33,53,54,...
lineups/services/utils.py                                      12.5%    6,7,8,9,10,11,12
lineups/services/validator.py                                  11.7%    28,29,31,32,33,34,36,38,39,...
roster/serializer.py                                           89.7%    12,163,164,165
roster/views.py                                                74.2%    40,42,43,45,46,47,48,49
roster/services/player_import.py                               92.2%    138,145,146,159,160,161,162...
simulator/views.py                                             37.7%    32,33,34,37,38,43,54,55,57,...
simulator/services/dto.py                                      59.0%    29,41,43,45,47,48,49,50,51,...
simulator/services/player_service.py                           20.0%    19,21,36,39,42,43,44,47,48,...
simulator/services/simulation.py                               35.9%    51,52,57,58,59,60,61,65,66,...
