"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","slg_percent","on_base_percent","isolated_power","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_game","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly"
"Norby, Connor",681393,2025,311,337,78,52,17,1,8,90,18,26.7,5.3,".389",".300","0.138","121","2","8","88","3","5","0","0","3"
"Guillorme, Luis",641645,2025,20,21,3,3,0,0,0,8,1,38.1,4.8,".150",".190","0.000","3","0","0","12","2","0","0","0","0"
"Stefanic, Michael",683021,2025,22,25,4,4,0,0,0,3,3,12,12,".182",".280","0.000","4","0","0","9","0","0","0","0","0"
"Ozuna, Marcell",542303,2025,487,592,113,73,19,0,21,144,94,24.3,15.9,".400",".355","0.168","195","0","0","145","11","3","2","0","7"
"Matthews, Brice",694728,2025,42,47,7,3,0,0,4,20,2,42.6,4.3,".452",".222","0.285","19","0","1","13","0","1","0","2","0"
"Schwarber, Kyle",656941,2025,604,724,145,64,23,2,56,197,108,27.2,14.9,".563",".365","0.323","340","2","10","162","4","11","6","0","1"
"Hummel, Cooper",669450,2025,88,105,15,12,0,0,3,31,14,29.5,13.3,".273",".298","0.103","24","0","1","37","1","2","0","1","0"
"Rogers, Jake",668670,2025,123,142,23,13,5,2,3,39,15,27.5,10.6,".333",".277","0.146","41","0","0","46","3","1","0","1","2"
"Lugo, Matthew",683090,2025,69,70,16,9,2,1,4,24,0,34.3,0,".464",".243","0.232","32","0","0","31","3","1","0","0","0"
"Lee, Jung Hoo",808982,2025,560,617,149,98,31,12,8,71,47,11.5,7.6,".407",".327","0.141","228","3","10","150","2","6","0","0","4"
"Kayfus, C.J.",692216,2025,123,138,27,12,10,1,4,38,11,27.5,8,".415",".292","0.195","51","0","4","44","0","2","0","1","1"
"Wilson, Weston",642215,2025,111,125,22,13,4,0,5,34,12,27.2,9.6,".369",".282","0.171","41","3","2","52","1","1","0","1","0"
"Walker, Christian",572233,2025,585,640,139,87,24,1,27,177,40,27.7,6.3,".421",".297","0.183","246","1","2","154","10","11","1","0","4"
"McCann, James",543510,2025,123,137,32,21,6,0,5,33,8,24.1,5.8,".431",".324","0.171","53","0","0","42","3","4","0","1","1"
"Arias, Gabriel",672356,2025,432,471,95,57,25,2,11,162,27,34.4,5.7,".363",".274","0.143","157","4","8","129","8","7","1","1","4"
"Matos, Luis",682641,2025,172,184,38,20,9,1,8,27,11,14.7,6,".424",".266","0.203","73","0","4","57","5","0","0","0","1"
"Alonso, Pete",624413,2025,624,709,170,90,41,1,38,162,61,22.8,8.6,".524",".347","0.252","327","2","1","162","23","15","5","0","9"
"Kreidler, Ryan",668952,2025,38,44,4,4,0,0,0,19,4,43.2,9.1,".105",".190","0.000","4","0","2","17","0","0","0","2","0"
"Short, Zack",670097,2025,50,56,11,7,2,0,2,18,4,32.1,7.1,".380",".291","0.160","19","1","0","22","0","1","0","1","0"
"Peraza, Oswald",672724,2025,244,265,40,29,6,0,5,80,17,30.2,6.4,".250",".223","0.086","61","0","9","106","6","2","0","0","1"
"Santander, Anthony",623993,2025,194,221,34,23,5,0,6,61,25,27.6,11.3,".294",".271","0.119","57","0","0","54","6","1","1","0","1"
"Soler, Jorge",624585,2025,279,315,60,36,12,0,12,94,28,29.8,8.9,".387",".293","0.172","108","0","0","82","5","4","0","0","3"
"Santana, Carlos",467793,2025,415,474,91,69,11,0,11,91,52,19.2,11,".325",".308","0.106","135","0","7","124","7","3","1","0","4"
"Abreu, Wilyer",677800,2025,373,417,92,53,17,0,22,101,40,24.2,9.6,".469",".317","0.222","175","3","6","115","8","0","5","1","3"
"Pozo, Yohel",650968,2025,160,168,37,24,8,0,5,22,7,13.1,4.2,".375",".262","0.144","60","0","0","67","4","0","0","0","1"
"Dubón, Mauricio",643289,2025,369,398,89,61,21,0,7,42,24,10.6,6,".355",".289","0.114","131","0","3","133","12","1","0","3","1"
"Manzardo, Kyle",700932,2025,470,531,110,62,19,2,27,135,48,25.4,9,".455",".313","0.221","214","0","2","142","7","8","2","0","5"
"Miller, Owen",680911,2025,14,17,2,2,0,0,0,4,2,23.5,11.8,".143",".294","0.000","2","0","1","9","0","1","0","0","0"
"Mangum, Jake",663968,2025,405,428,120,98,18,1,3,64,19,15,4.4,".368",".330","0.072","149","6","27","118","4","2","0","1","1"
"Ward, Taylor",621493,2025,579,663,132,63,31,2,36,175,75,26.4,11.3,".475",".317","0.247","275","1","4","157","13","3","1","0","6"
"Massey, Michael",686681,2025,262,277,64,52,9,0,3,43,9,15.5,3.2,".313",".268","0.069","82","1","2","77","3","1","0","1","4"
"Baldwin, Drake",686948,2025,405,446,111,72,18,2,19,68,38,15.2,8.5,".469",".341","0.195","190","0","0","124","9","3","0","0","0"
"Conine, Griffin",665052,2025,79,86,20,11,7,0,2,25,7,29.1,8.1,".418",".314","0.165","33","1","0","24","0","0","0","0","0"
"Hurtubise, Jacob",674441,2025,12,15,1,1,0,0,0,6,1,40,6.7,".083",".267","0.000","1","0","0","12","0","2","0","0","0"
"Judge, Aaron",592450,2025,541,679,179,94,30,2,53,160,124,23.6,18.3,".688",".457","0.357","372","5","12","152","16","7","36","0","7"
"Mesa Jr., Victor",683748,2025,32,38,6,3,2,0,1,5,5,13.2,13.2,".344",".297","0.156","11","0","0","16","0","0","0","1","0"
"Yorke, Nick",694377,2025,69,72,16,12,3,0,1,15,3,20.8,4.2,".319",".264","0.087","22","0","1","22","1","0","0","0","0"
"Carroll, Corbin",682998,2025,564,642,146,66,32,17,31,153,67,23.8,10.4,".541",".343","0.282","305","6","32","143","6","7","4","0","4"
"Lukes, Nathan",664770,2025,388,438,99,66,19,2,12,60,38,13.7,8.7,".407",".323","0.152","158","4","2","135","12","2","2","7","3"
"Bernabel, Warming",682653,2025,139,146,35,22,8,1,4,25,7,17.1,4.8,".410",".288","0.158","57","1","1","40","2","0","0","0","0"
"Kirk, Alejandro",672386,2025,451,506,127,94,18,0,15,59,48,11.7,9.5,".421",".348","0.139","190","0","1","130","16","1","2","0","6"
"Canario, Alexander",672744,2025,216,234,47,34,6,1,6,80,17,34.2,7.3,".338",".274","0.120","73","1","3","87","5","0","0","0","1"
"Higashioka, Kyle",543309,2025,303,327,73,47,14,1,11,72,20,22,6.1,".403",".291","0.162","122","1","3","94","5","2","0","0","2"
"Black, Tyler",672012,2025,8,13,2,1,1,0,0,1,5,7.7,38.5,".375",".538","0.125","3","1","0","5","0","0","0","0","0"
"Garver, Mitch",641598,2025,254,290,53,38,5,1,9,80,30,27.6,10.3,".343",".297","0.134","87","0","3","87","6","3","1","0","3"
"Díaz, Elias",553869,2025,255,283,52,36,7,0,9,74,21,26.1,7.4,".337",".270","0.133","86","0","0","106","11","2","0","5","0"
"Barrosa, Jorge",678489,2025,71,77,10,6,3,0,1,22,2,28.6,2.6,".225",".169","0.084","16","0","0","33","1","1","0","0","3"
"Rodríguez, Johnathan",671286,2025,71,77,14,7,4,1,2,22,6,28.6,7.8,".366",".260","0.169","26","0","1","31","2","0","0","0","0"
"Thomas, Alek",677950,2025,433,469,108,77,19,3,9,122,21,26,4.5,".370",".289","0.121","160","4","7","143","2","5","0","6","4"
"Happ, Ian",664023,2025,569,663,138,83,32,0,23,151,87,22.8,13.1,".420",".342","0.177","239","3","6","150","8","2","2","0","5"
"Noel, Jhonkensy",678877,2025,148,153,24,16,2,0,6,52,4,34,2.6,".297",".183","0.135","44","0","0","69","4","0","0","0","1"
"Harper, Bryce",547180,2025,501,580,131,72,32,0,27,121,70,20.9,12.1,".487",".357","0.226","244","2","12","132","5","6","6","0","3"
"Pasquantino, Vinnie",686469,2025,621,682,164,98,33,1,32,107,49,15.7,7.2,".475",".323","0.211","295","0","1","160","14","7","5","0","5"
"Vaughn, Andrew",683734,2025,406,447,103,67,22,0,14,80,31,17.9,6.9,".411",".307","0.157","167","0","0","112","12","3","0","1","6"
"Walls, Taylor",670764,2025,282,317,62,43,14,1,4,70,26,22.1,8.2,".319",".280","0.099","90","6","14","101","1","0","0","3","6"
"Altuve, Jose",514888,2025,588,654,156,105,24,1,26,109,55,16.7,8.4,".442",".329","0.177","260","6","10","155","20","4","5","1","6"
"Adames, Willy",642715,2025,591,686,133,79,22,2,30,179,80,26.1,11.7,".421",".318","0.196","249","4","12","160","9","5","2","0","9"
"Alexander, Blaze",677942,2025,230,266,53,33,12,1,7,86,22,32.3,8.3,".383",".323","0.153","88","6","4","74","5","10","0","3","1"
"Jiménez, Leo",677870,2025,29,32,2,1,0,0,1,8,2,25,6.3,".172",".129","0.103","5","0","0","18","1","0","0","1","0"
"Tawa, Tim",694374,2025,199,225,40,25,8,0,7,64,20,28.4,8.9,".347",".274","0.146","69","2","8","74","6","1","0","2","3"
"Dunn, Oliver",686554,2025,36,41,6,4,2,0,0,11,2,26.8,4.9,".222",".205","0.055","8","0","1","14","0","0","0","2","1"
"Freeman, Freddie",518692,2025,556,627,164,99,39,2,24,128,60,20.4,9.6,".502",".367","0.207","279","2","6","147","13","6","7","0","5"
"Siri, Jose",642350,2025,32,36,2,0,2,0,0,17,4,47.2,11.1,".125",".167","0.062","4","0","2","16","0","0","0","0","0"
"Estrada, Thairo",642731,2025,154,165,39,27,9,0,3,26,6,15.8,3.6,".370",".285","0.117","57","3","1","39","6","2","0","0","3"
"Sweeney, Trey",700242,2025,296,326,58,44,6,2,6,92,26,28.2,8,".291",".258","0.095","86","1","3","118","2","0","0","0","4"
"Robert Jr., Luis",673357,2025,382,431,85,59,12,0,14,112,40,26,9.3,".364",".297","0.141","139","8","33","110","8","2","3","1","3"
